id,avatar,title,speaker,time,room,level,description,agenda,hackmd
1,https://pretalx.com/media/avatars/3382565_Vcjnju2.jpeg,聊天機器人 Session 管理與多輪對話,C. T. Lin,8/2 10:00 ~ 10:40,TR212,中階,聊天機器人的應用情境非常多，本議程會帶大家了解一下聊天機器人的 Session 要如何建立與儲存，以及如何應用 Session 的概念發展出能彈性進行的多輪對話。,https://coscup.org/2020/zh-TW/agenda/HLEXAD?openExternalBrowser=1,https://hackmd.io/@chatbot-tw/coscup2020/edit?openExternalBrowser=1
2,https://www.gravatar.com/avatar/92e458c08b57ea66ecd453dce77278cd?s=1024&d=https://coscup.org/2020/img/speaker/avatar/default.png&r=g,CBFHSS 專為高中生設計的管家型聊天機器人,廖煥杰,8/2 10:50 ~ 11:10,TR212,入門,CBFHSS 是 Chatbot for High School Student 的簡稱，目的在於協助及分擔高中生一日生活上的負擔。主要功能包含新增、刪除、檢視作業及考試，段考資訊查詢、過期資料自動刪除、放學前推播提醒。因應上半年 COVID-19 疫情，我們加入了體溫登陸系統來避免在填寫及傳遞表格上可能發生的接觸感染風險。同時我們也研發處室端的 CBFHSS，除了讓學校可以了解全校即時的體溫之外，每日九點會程式檢查資料中是否有體溫異常的學生，並將該生的班級及座號透過推播提供給相關處室，方便相關處室的老師可以進行近一步的處理。,https://coscup.org/2020/zh-TW/agenda/EL8MH8?openExternalBrowser=1,https://hackmd.io/@chatbot-tw/coscup2020/edit?openExternalBrowser=1
3,https://pretalx.com/media/avatars/%E6%93%B7%E5%8F%96%E9%81%B8%E5%8F%96%E5%8D%80%E5%9F%9F_004_tgtbgCp.png,Loki: 專為中文開發一個 NLU 意圖分類引擎,PeterWolf,8/2 11:20 ~ 12:00,TR212,中階,"Loki 全名為 Linguistic Oriented Keyword Interface，和其它基於西方語言的機器學習 NLU 引擎不同。Loki 是專為中文設計的 NLU 意圖分析引擎。在語言學中，合作原則 (cooperative principle) 描述了人類在各種情境中實現有效對話的特徵。基於前述原理，Loki 將 NLU 任務分級成「場景 > 意圖 > 句型」三個等級。

Loki 語言模型的「通透 (transparency)」特性，讓開發者藉由正規表式示即能一目瞭然，任何句子在模型和程式邏輯中的每一個處理過程。當然，這也帶來了更靈活方便的模型調整以及更少訓練資料量的需求。",https://coscup.org/2020/zh-TW/agenda/8VPX8V?openExternalBrowser=1,https://hackmd.io/@chatbot-tw/coscup2020/edit?openExternalBrowser=1
4,https://pretalx.com/media/avatars/28684836_1748910828504809_6100039048603107328_n_j8wQJff.jpg,Dialogflow with LINE bot 應用語意分析於 LINE Bot 開發的小技巧,Wolke Lin（林建宏）,8/2 12:10 ~ 12:30,TR212,入門,"貴大大公司的 LINE BC 可以不要再1,2,3,4選單了嗎?
試試 Dialogflow 吧!",https://coscup.org/2020/zh-TW/agenda/FT8N9V?openExternalBrowser=1,https://hackmd.io/@chatbot-tw/coscup2020/edit?openExternalBrowser=1
5,https://www.gravatar.com/avatar/2c2dd601674478c55f57f0d2b8e547a8?s=1024&d=https://coscup.org/2020/img/speaker/avatar/default.png&r=g,一份試算表、一台主機、一支機器人,奇步老爹（陳佳新）,8/2 12:40 ~ 13:00,TR212,入門,許多人都想要做聊天機器人，其實或許沒有想像的那麼難，只要準備好一份試算表，可以是常見問題集或者餐廳的菜單，再申請一台可以連結網際網路的雲端主機，搭配幾行程式碼（好吧，一些程式碼），就可以是一支支援關鍵字自動應答的機器人了！,https://coscup.org/2020/zh-TW/agenda/EXBECY?openExternalBrowser=1,https://hackmd.io/@chatbot-tw/coscup2020/edit?openExternalBrowser=1
6,https://www.gravatar.com/avatar/8d9b432d861e4ac0e40954a800ae90a1?s=1024&d=https://coscup.org/2020/img/speaker/avatar/default.png&r=g,在 LINE Chatbot 中串接 Google Analytics 的經驗分享,和風信使,8/2 13:10 ~ 13:50,TR212,中階,用戶行為在系統一直都是一個很重要的資料，這個議程將會以開發者的角度，分享在 LINE Chatbot 及 LINE LIFF 中串接 Google Analytics 的經驗，並且提供一些 Node.js 實作的範例。,https://coscup.org/2020/zh-TW/agenda/UR7WGZ?openExternalBrowser=1,https://hackmd.io/@chatbot-tw/coscup2020/edit?openExternalBrowser=1
7,https://pretalx.com/media/avatars/33027207_10156323485524643_5014601934166818816_n_mZ9mP6k.jpg,不要再叫我當那條龍了！開源機器學習系統部署設計模式—以次世代 Chatbot 客服系統為例,Toby Liu,8/2 14:00 ~ 14:40,TR212,中階,機器學習系統部署儼然成為 AI 當代最棘手的技術問題之一，MLOps 相關框架五花八門遍地開花。本講題將以 日商 Mercari 開源釋出的機器學習系統部署設計模式文件為基礎，向大家介紹實務上各種機器學習模型部署的設計模式、對應的套件、適合使用的情景，以及當中不好說的辛酸肝淚史。,https://coscup.org/2020/zh-TW/agenda/BFCXL9?openExternalBrowser=1,https://hackmd.io/@chatbot-tw/coscup2020/edit?openExternalBrowser=1
8,https://pretalx.com/media/avatars/sp20190818-1_O8lDs1I.jpg,LINE BOT 整合 AI ，隨時隨地聽學外文,柯克,8/2 14:50 ~ 15:10,TR212,中階,"學好外文，是工程師踏入世界舞台的第一步，而 LINE 是我們每天都會打開來使用的 APP。

因此想說把做一個開源的學習外文LINE BOT，整合AI相關技術，讓我們工程師可以隨時隨地聽學外文。",https://coscup.org/2020/zh-TW/agenda/LJD3YX?openExternalBrowser=1,https://hackmd.io/@chatbot-tw/coscup2020/edit?openExternalBrowser=1
9,https://www.gravatar.com/avatar/c68a0bba74450d4c1c0f76fd6adf13cb?s=1024&d=https://coscup.org/2020/img/speaker/avatar/default.png&r=g,LINE Bot 設計模式,郭佳甯,8/2 15:20 ~ 16:00,TR212,中階,"本議程不會提到任何程式碼，適合一般大眾參加。

本議程整理大部分 LINE Bot 的設計，並且嘗試抽取出其中的設計模式，分析各種模式的優缺點，以及使用時機。聽完之後，你就能選用最適當的技術、最少的資源來最大程度地滿足用戶需求。",https://coscup.org/2020/zh-TW/agenda/JQPSPU?openExternalBrowser=1,https://hackmd.io/@chatbot-tw/coscup2020/edit?openExternalBrowser=1
10,https://pretalx.com/media/avatars/69399005_2481172575238715_6317154799376662528_n_ZLxbHFZ.jpg,第一次開發 Python SDK 就上手！ feat. LINE Notify,NiJia Lin,8/2 11:20 ~ 11:50,RB105,中階,從構思、實作、測試、上傳…等等的所有有遇到的問題以及吸收其他 Open Source 的精華打造出的 Lotify，看似簡單的功能背後被坑了不少的雷，就讓我把血跟淚一起講出來吧 /(; _ ; ),https://coscup.org/2020/zh-TW/agenda/KNJDWQ?openExternalBrowser=1,https://hackmd.io/@chatbot-tw/coscup2020/edit?openExternalBrowser=1
